,sentimen,text
,Neutral,Ini semua kita perlu ambil kira.
,Negative,Bagi Awang bantahan dan penentangan tersebut adalah manifestasi wujudnya kesedaran dalam kalangan ahli gabungan ber?enaan bagaimana pemimpin-pemimpin yang mereka sanjung hakikatnya cuba mempermainkan mandat rakyat
,Positive,"Walaupun wujud begitu banyak kebimbangan dalam diri saya, tetapi saya yakin bahawa menyertai Bersatu ini adalah satu perkara yang perlu saya lakukan sekarang."
,Positive,Mereka menerima kedatangan kami dengan baik
,Positive,Kita minta pihak konsesi ini dimansuhkan
,Neutral,Jadi kalau rayuan saya ditolak maknanya saya ada satu tahun setengah bermula 1 Jun
,Positive,"Sebelum ini, tidak ada parti yang pernah mendapatkan maklum balas daripada MBM dalam membentuk manifesto yang tidak lain tidak bukan bertujuan untuk memberi fokus kepada isu anak muda."
,Positive,Pertama mereka boleh mengambil penumpang dari jalanan.
,Positive,ni bermakna melalui KR1M 2.0 semua peruncit yang menjalankan kerjasama memasarkan produk KR1M 2.0 akan menggunakan jenama asal produk seperti Nestle dan sebagainya dan tidak lagi menggunakan jenama selain jenama asal itu
,Positive,"Saya sudah beri macam-macam fakta, semua inisiatif diberikan kerajaan negeri untuk menjamin kelestarian bekalan air."
,Positive,Hanya pemimpin Sarawak boleh menentukan masa depan Sarawak.
,Neutral,Saya sangat tersentak!
,Negative,"Bagi saya, musuh utama dalam politik bila kita terlalu yakin yang boleh menyebabkan kita malas untuk bekerja."
,Positive,"Dengan personaliti besar seperti Tun Dr Mahathir Mohamad dan presidennya, Tan Sri Muhyiddin Yassin, dan PPBM boleh menembusi ke kawasan-kawasan Melayu untuk meraih undi."
,Neutral,"Sebelum ini, produk peranti perubatan dimasukkan dalam Skim Pensijilan Halal bagi farmaseutikal, contohnya cecair digunakan dalam mesin haemodialisis yang dulunya dikategorikan sebagai produk farmaseutikal"
,Positive,"Jika kita bayar cukai, semestinya ingin melihat ia dibelanjakan untuk sesuatu yang perlu"
,Positive,"Di samping itu, beliau juga memberikan dana jutaan ringgit untuk pembangunan luar bandar, menyediakan antara lain elektrik dan jalan raya untuk rakyat."
,Positive,Saya tak tolak realiti ada yang terpaksa menjadi peniaga sebab tak ada kerja lain tetapi ada juga yang memilih untuk menjadi peniaga
,Negative,PH Johor mengesyaki penangkapan Mazlan bermotif politik.?
,Positive,"Ganti dan sebagainya, Insya Allah perkara itu saya pun tak boleh buat keputusan, tetapi saya akan bangkitkan perkara ini"
,Positive,Ia sangat bermakna buat anak-anak kita
,Negative,"Sekiranya dia terlibat dalam kerja-kerja pengintipan semasa PRU13, dia mungkin akan menutup mulutnya dan tidak mengatakan dia telah melakukannya untuk Mukhriz Mahathir."
,Neutral,"Dalam pembangunan tanah keadaan normal yang biasa tanah tetap pada tuan milik tanah, pemaju cuma cari kewangan pembiayaan"
,Positive,Dia pun tak kacau sama mereka
,Positive,"Maka kita bertekad akan menentang Umno BN dan mana-mana pihak yang bersekutu dengannya dalam pilihan raya akan datang ini,"
,Negative,Bukan sahaja GST tidak diperlukan tetapi hutang juga tidak perlu dipinjam dengan begitu banyak.?
,Positive,"Perdana Menteri tidak seharusnya memegang jawatan sebagai menteri kewangan,"
,Negative,"Jika berlaku demikian maka ia adalah rasuah, atau disebut dengan istilah ?ick back??
,Neutral,""Kuota belia"
,Negative,Ini kerana wujudnya satu permintaan yang ?idak benar?yang mendorong kenaikan harga rumah yang akhirnya menjadi punca sehingga rakyat tidak mampu membeli rumah
,Positive,Pihak konsulat juga akan memberi kerjasama penuh kepada polis dan pihak berkuasa di Malaysia bagi membantu kes itu
,Neutral,"Catatan itu menunjukkan Exco PKR Selangor, Elizabeth Wong, Adun PKR, Chua Yee Ling dan Ahli Majlis Selayang daripada PKR, Fok Wai Mun di sebuah acara perayaan Cina, tetapi membabitkan saya dalam gambar itu"
,Positive,"Biasanya, syarikat penyedia perkhidmatan berkaitan kewangan meletakkan Malaysia di kedudukan 'AA"
,Positive,Itu yang kita harapkan apabila ramai dapat manfaat.
,Positive,Itu paling penting walaupun kita bekerja dengan sesiapa pun
,Neutral,"Kalau penting sangat, mereka boleh berhenti di kawasan yang selamat untuk menjawab panggilan atau membalas teks"
,Positive,Syabas pasukan KWSP!
,Positive,(Dasar) yang baik dikekalkan dan yang buruk perlu diperbetulkan atau dihapuskan.?
,Positive,Aktiviti penguatkuasaan mereka juga dikoordinasikan dengan pihak polis supaya tindakan ini akan membawa hasil lebih baik
,Positive,"Ini termasuk peruntukan RM1.315 bilion untuk lima projek baharu bawah Rancangan Malaysia Ke-11 (RMK11) di Langkawi,"
,Negative,Kenapa hendak takutkan mereka (pemimpin PKR)
,Positive,"Sebagai kerajaan, kita beriltizam untuk pastikan keadaan ini akan berterusan"
,Positive,Sebenarnya ia tidak benar sama sekali
,Positive,"Di Pertubuhan Amal Firdausi, kami menyediakan satu platform untuk golongan ini kembali ke pangkal jalan"
,Negative,Tetapi hakikatnya tidak banyak pembangunan terlihat dan yang meningkat dengan tinggi ialah hutang.
,Positive,"Bersatu masih menanti panggilan ROS, dan kami bersedia dan akur dengan cadangan yang bakal dikemukakan ROS jika terdapat sebarang masalah"
,Positive,"Saya ingin sarankan supaya penumpang beli tiket awal, kerana sudah tahu tarikh perayaan.?
,Positive,Ini kita telah buktikan...bila ada kuasa undang-undang yang boleh dikenakan kepada mana-mana individu yang kemungkinan besar lakukan jenayah seperti keganasan"
,Neutral,Saya mahu tahu mengapa
,Neutral,"Kalau kapal dah dirampas, boleh tak saman untuk menangkap Jho Low dikeluarkan?"
,Positive,"Ketua Penerangan Bersatu, Kamaruddin Mohd Noor suruh saya ?engemas?barang-barang kerana Bersatu akan ambil alih Kedah tetapi di sini mereka yang perlu ?engemas?barang mereka."
,Positive,Rakyat Malaysia sentiasa terpilih
,Positive,Gabungan ini semakin hari semakin kuat
,Positive,"Siapa berhasrat mahu jadi calon, mesti ada kredibiliti dan sokongan padu rakyat, tidak kira dia penyandang atau tidak"
,Neutral,Semua kelulusan perlu melalui jawatankuasa pelaburan pengurusan bagi mendapatkan sokongan sebelum dikemukakan kepada Panel Pelaburan bagi kelulusan akhir
,Neutral,Mengapa kerajaan perlu melabur dengan jumlah yang cukup tinggi?
,Positive,"Ini juga menunjukkan baginda menggalakkan pewarisan, pemahaman dan pengamalan budaya Cina di Johor."
,Positive,bertindak pantas untuk menafikan mesej yang tular di media sosial berhubung terkorbannya seorang ahli Parlimen susulan penemuan sejumlah wang ditemui dalam kenderaan tersebut.
,Positive,membuat pertimbangan rasional berdasarkan faktor berkenaan dan bukannya isu nasional dibawa pakatan pembangkang.
,Positive,Saya harap kerajaan negeri mempercepatkan proses kelulusan dan pewartaan tanah itu sebab proses mengukur sudah pun selesai tahun lalu
,Negative,Kalau berlaku banjir pun tak nampak bayang mereka
,Negative,"Kita boleh berbeza dalam politik, tetapi jangan halang pemimpin masyarakat (untuk menganjurkan majlis seumpama itu)"
,Positive,"berkat solat Hajat dan bacaan Yasin yang sering dibaca penduduk kampung, situasi menjadi kembali tenang."
,Positive,Bantahan kita itu akan dibuat dalam sidang media sebab ramai orang marah
,Neutral,"Pada PRU-14 nanti, semua parti tidak boleh tubuh kerajaan dan ketika inj PAS akan berperanan sebagai 'king maker'"
,Positive,"Saya bersedia pada bila-bila masa adakan perdebatan itu, terserah kepada beliau untuk tentukan tempat, tarikh dan masa"
,Positive,Pemikiran masyarakat nelayan sekarang lebih matang yang boleh memikirkan yang mana benar dan yang baik untuk mereka.
,Positive,saya tinggalkan negara ini dalam keadaan baik
,Negative,"Dalam soal Rohingya, beliau turut berasa bimbang?eliau tidak melihatnya sebagai isu umat Islam atau isu kemanusiaan semata-mata."
,Positive,"Sebagaimana penyerahan tablet hari ini (kelmarin), jangan anggap Yang Amat Berhormat Perdana Menteri (PM) bagi sebab hendak PRU, kerana ini antara perkara diucapkan sewaktu pembentangan bajet tahun lepas."
,Negative,berkata tiada parti akan membiarkan ahlinya berdiri di pentas pembangkang dan menghamun parti sendiri.
,Neutral,"Kenapa pula apabila PAS mengisytiharkan bertanding di kerusi Parlimen Permatang Pauh yang disandang PKR, ia tidak dianggap sebagai membawa perpecahan kepada Melayu?"
,Positive,"calonnnya lebih awal merupakan satu strategi baik kerana ia akan memberinya cukup masa untuk menyelesaikan isu, termasuk cubaan sabotaj dan mempunyai lebih banyak masa untuk mendekati pemilih."
,Neutral,"Mungkin ada yang merasa terdapat kelakuan yang tidak senonoh dalam klip video tersebut, namun ia hanyalah untuk hiburan"
,Negative,Kalau tambang mahal memang ramai yang tidak akan balik mengundi.
,Negative,Memang jelas Umno guna retorik semangat perkauman sehingga ke tahap menjejaskan hubungan dengan etnik lain.?
,Neutral,"Setiap kali saya pergi ke mana sahaja, orang Melayu dan Cina akan tanya saya adakah benar catatan Facebook itu."
,Positive,"sering melempar senyuman, menampakkan semua giginya."
,Positive,"Disebabkan ada aduan yang diterima berhubung tambang tinggi pada musim perayaan, maka pihak Mavcom sudah melaksanakan kajian mengenai tambang yang dijangka selesai pertengahan 2018."
,Neutral,"Selepas kita periksa, kita tengok ada 2 mesin potong kayu."
,Negative,Hairanlah demokrat palsu nak bendung berita palsu!
,Positive,prinsip yang dibawa oleh demokrasi seperti yang dibawa di negara yang mengamalkan demokrasi serata dunia.
,Positive,berterima kasih kepada pihak yang menularkan video terbabit kerana dalam sehari produknya yang membantu menurunkan berat badan habis terjual
,Negative,Melayu Johor akan bangkit untuk mempertahankan hak mereka yang telah dimusnahkan oleh pemimpin BN
,Positive,Tidak ada satu pun taifah yang mengancam keselamatan negara
,Negative,"Walaupun demokrasi menginstitusikan kebebasan, adalah ironi kepada penginstitusian itu sekiranya idea kebebasan dilebarkan sehingga boleh membunuh demokrasi itu sendiri."
,Positive,"Umno parti Melayu, kerajaan ini satu-satunya kerajaan Melayu di atas muka bumi ini, yang diperintah oleh marhaen Melayu, tiada lain di dunia, kenapa perlu diruntuhkan demi kepentingan peribadi, saya tak setuju"
,Negative,terdapat segelintir penyokong membantah keputusan pucuk kepemimpinan parti
,Positive,"Sejak 35 tahun lepas, kami telah membantu negara-negara kurang maju dalam bidang seperti perancangan ekonomi, kewangan dan perdagangan, pertanian, pendidikan, latihan teknikal industri dan diplomasi"
,Positive,Saya ada cukup bukti dan saya akan terus membongkar kegiatan rasuah serta salah guna kuasa pemimpin PKR Selangor
,Negative,"Jentera PH lemah, PAS masih kuat, kalau Datuk Husam Musa lawan Datuk Takiyuddin Hassan (Yang Dipertua PAS Kota Bharu) pun Husam akan kalah walaupun dia bekas exco"
,Positive,"Jika ada perbezaan, bincang secara dalaman"
,Negative,Kerajaan terpaksa keluarkan duit yang banyak
,Negative,Media Barat termakan pembohongan pembangkang
,Positive,"Walaupun ada liputan meluas media mengenai Dr Mahathir dan pencalonannya sebagai Perdana Menteri, ia bukan petanda baik untuk Pakatan Harapan"
,Positive,Saya tidak akan lari ke kawasan lain.?
,Negative,"Jika projek itu dibatalkan, sudah tentu kerajaan perlu bayar pampasan berbilion ringgit kepada kontraktor"
,Positive,"Bakat ini bukan sahaja harus berpengetahuan, tetapi juga mampu membezakan mana yang betul dan salah, untuk menjalankan kajian mengenai sains bagi menambah baik kesejahteraan masyarakat dan bukan untuk keuntungan peribadi"
,Positive,pilihan raya hendaklah menjadi pilihan raya bebas dan telus
,Neutral,Berapa banyak kita boleh rugi
,Positive,"Jadi, saya tidak perlu susahkan sesiapa"
,Neutral,"Tidak kisah apa berita palsu yang di bawa, apa contoh dan apa jenis berita palsu sekalipun, sekiranya orang berpengaruh serta boleh memanipulasikan atau mengekploitasikan sesuatu berita itu"
,Positive,"Saya harap Raymond dilepaskan supaya beliau boleh bertemu dengan anggota keluarga, terutamanya di tahun baru Cina ini"
,Neutral,Penjawat awam dan ahli politik yang berada dalam lembaga pengarah dalam syarikat awam dan GLC harus terlebih dahulu mengikut tatakelakuan seumpama itu.
,Positive,Walhal sekarang ini baru kita faham kita semua parti politik dalam negara yang kita sama-sama menjadi rakyat.
,Positive,"Ubat generik ini memberi makna besar kepada negara dan pesakit kerana ia boleh membunuh virus, pada masa sama menghalang ia daripada menjangkiti orang lain"
,Negative,Pembangkang bersatu hanya untuk rebut jawatan
,Positive,Jadi saya ingat perkara berkaitan dengan 1MDB ini kita tak perlu perhalusi kerana sudah jelas seperti yang saya umumkan tadi.
,Positive,tetapi kini kadar penembusan jalur lebar isi rumah telah menjangkau 84.5 peratus di seluruh negara
,Negative,"Dong Zong mengharapkan sesuatu yang belum tentu, barang yang tersedia hendak dilepaskan"
,Negative,pakatan pembangkang juga lemah dan tidak mampu membentuk kerajaan yang stabil
,Positive,Jelas pembangkang buat tuduhan untuk mengelirukan rakyat dan pengundi
,Positive,Bukankah ini memberikan kesan lebih positif dalam membina masa depan kita??
,Neutral,Artikel itu yang mendakwa saya menerima RM100 juta daripada Kuok (Tan Sri Robert Kuok) yang dibayar selama 4 tahun sejak pilihan raya umum (PRU) lalu.
,Positive,"Oleh itu, projek bangunan tambahan Hospital Langkawi telah diluluskan di bawah Rolling Plan Ketiga RMK-11"
,Negative,"Tengok sahaja janjinya, sebelum ini nak buat jambatan merentasi Sungai Kelantan yang menghubungkan Kota Bharu dengan Tumpat, tidak jadi."
,Positive,Apa yang berlaku pada hari ini adalah kejayaan kerajaan dalam soal perbankan Islam dan banyak lagi
,Positive,"Sebagai contoh, kita boleh memerintah Kelantan selama 28 tahun dan dalam keadaan tersekat, peruntukan terhad, kerana tidak ada ketirisan"
,Positive,"Seperti kebanyakan negara lain, kami menghadapi pelbagai cabaran dan berjaya menguruskan transformasi bandar yang berkembang dengan rancak"
,Positive,"memberikan perspektif terbaik berkaitan isu 1MDB termasuk menjawab segala persoalan ketika sesi penerangan di seluruh negara, mendapat pujian ramai. "
,Negative,"Kenapa di Malaysia yang mana segala-gala masalah berpunca di sini, satu tindakan tidak diambil??
,Neutral,Buat sementara"
,Neutral,"PH Johor juga mengecam tindakan polis yang berkeras menahan Mazlan pada waktu yang amat tidak munasabah sehingga menimbulkan tanda tanya, kesalahan berat apakah yang telah dilakukan oleh beliau??
,Neutral,Berdasarkan kualiti jawapan calon"
,Negative,"Kalau kita nak tunggu sehingga ilmu itu diterjemahkan kepada bahasa kita, tak mungkin semua ilmu diterjemahkan dan mungkin terjemahan itu tidak sebaik seperti bahasa asalnya"
,Positive,Untuk menghapuskan pemimpin raksasa itu
,Neutral,Saya bekerja siang malam dan jadual saya padat setiap hari dengan pelbagai program
,Neutral,Sebab itulah DAP akan ambil langkah lanjut.
,Positive,Itu yang saya mahu tunjukkan.
,Positive,"Oleh itu, situasi politik yang stabil itu pada akhirnya dapat diterjemahkan kepada pertumbuhan ekonomi yang baik"
,Positive,Permatang Pauh kubu tradisi Umno sebelum ini
,Positive,pengusaha-pengusaha kereta sewa menerima tempias daripada momentum pilihan raya apabila kebanyakan mereka menerima tempahan berganda sejak seminggu lalu daripada pelbagai pihak.
,Neutral,Saya tidak peduli apa mereka tulis
,Positive,Saya baru bincang dengan Suruhanjaya Sekuriti (SC) dan mereka memaklumkan nilai ringgit kita kukuh disebabkan harga minyak naik dan pengaliran dana serta ekuiti asing ke negara ini.
,Positive,Apa dilakukan kerajaan pada masa ini adalah untuk terus meningkatkan kemajuan bidang pendidikan dan proses pembelajaran dan pengajaran
,Positive,"Pembangkang mengaitkan Najib yang juga pengerusi Lembaga Penasihat 1MDB sebagai orang yang bertanggungjawab dalam segala perkara yang berlaku berkaitan 1MDB, sedangkan pada hakikatnya jawatan berkenaan tidak mempunyai sebarang kuasa di bawah undang-undang dan Akta Syarikat."
,Positive,Pilihan raya perlu menjadi medan kepada rakyat untuk menyatakan suara dan keputusan mereka secara bijak berasaskan keunggulan rekod perkhidmatan kerajaan sedia ada
,Neutral,"Sihat tidak bermakna boleh berlari, saya aktif bukan sahaja tubuh badan tapi akal fikiran untuk menyelesaikan masalah.?
,Neutral,Ini tidak pernah berlaku
,Positive,Saya galakkan orang sebelah sana yang rasa benci kepada pemimpin mereka tetapi tak berani bersuara (mengenai rasa tak puas hati) tentang kleptokrasi
,Negative,Kita tidak dapat mengejar mereka.
,Negative,satu kenyataan mengecam syarat tambahan SPR mengenai penggunaan bahan kempen sambil menyifatkan langkah melarang gambar sebagai tindakan terdesak
,Positive,Memang sangat bagus jika doktor"
,Negative,"PROTON beri tawaran tanpa perkiraan yang wajar, sekarang tak berapa kena"
,Negative,Sekarang ini kalau pergi hospital ubat kena bayar sendiri.
,Negative,Isu 1MDB adalah isu lama tetapi pihak tidak bertanggungjawab terus menghebohkannya
,Negative,"Ya, ekonomi dirangsang tetapi ia bergerak terlalu pantas tanpa rundingan sewajarnya."
,Positive,Kita ada agenda yang penuh namun ia turut menjadi peluang untuk memperluas kepentingan bersama kita
,Positive,"Maksimumkan pergerakan dan kalau sebelum ini kita buat program seminggu sekali, tapi sekarang kena berubah, buat program setiap hari bersama rakyat"
,Negative,"pasukan perlu membayar pampasan tiga bulan gaji kepada pemain yang mereka ingin gugurkan, dengan syarat penamatan kontrak dilakukan atas persetujuan kedua-dua pihak."
,Negative,"Ini bermakna harga makanan RM100 pada 2010, meningkat kepada RM130 tahun lalu."
,Neutral,"Kedua, soal persempadanan ini telah dibawah ke mahkamah, semua orang telah baca di surat khabar, apa sangat yang mahu dibaca dokumen di hadapan itu."
,Positive,Ayer Hitam dianggap kawasan yang paling kuat dalam MCA dan BN
,Positive,Pembangunan baharu termasuklah pengkomputeran awan perindustrian untuk mengawal proses pembuatan
,Negative,sudah kurang budi bahasa
,Neutral,"Kalau mereka adalah anggota parti, sama ada mereka pegang jawatan atau tidak, kami akan serahkan kepada lembaga disiplin"
,Positive,memuji tindakan parti politik termasuk pembangkang yang menjaga displin para penyokong sehingga tidak menimbulkan sebarang kekecohan dan kekacauan pada hari penamaan calon semalam.
,Positive,Tanpa GST pembangunan dan pentadbiran negara tidak terjejas bahkan lebih hebat dari sekarang.?
,Neutral,Ia mengenai kemanusiaan
,Negative,"Pas sering ungkap 141,000 ahli baharu sertai parti Islam itu sejak 2013 hingga 2017, hakikatnya Pas ada 7,000 cawangan jadi nisbah pertambahan empat orang ahli baharu setahun untuk politik kuasa memang tak mampu bawa perubahan masa depan politik."
,Negative,Ini tidak bermakna mereka menyokong kerajaan.
,Positive,Itu satu perkara yang baik dan anda memerlukan pakatan untuk berbuat demikian.?
,Positive,"Isu bandar merupakan isu penting untuk kehidupan warganya dan satu-satunya cara untuk mengetahui isu itu sama ada baik atau buruk, positif atau negatif adalah?menerusi wartawan kerana mereka boleh menjadi alat komunikasi dan penghantar mesej"
,Positive,"Sumbangan daripada segmen itu adalah penting, menyumbang seperlima daripada hasil, selain daripada pendapatan sampingan lain, iaitu, makanan dalam penerbangan, perkhidmatan daftar masuk lapangan terbang dan perniagaan logistik"
,Positive,"Kerajaan juga memberikan geran RM5,000 untuk mereka berhijrah kepada ?-hailing"
,Positive,"Bagi memanfaatkan peluang ini, bandar raya memerlukan penyelesaian inovatif, perancangan pintar dan tadbir urus yang baik"
,Positive,Saya hanya menjalankan tugas sebagai seorang pegawai keselamatan
,Negative,"Berdasarkan statistik Pasukan Tindak Balas Kecemasan Komputer Malaysia (MyCERT), sebanyak 7,962 kes ancaman siber dilaporkan sepanjang tahun lalu"
,Negative,Mereka bukan seorang tetapi ada anak dan isteri yang turut terabai dan ikut jejak mereka
,Negative,Bila umum bubar (Parlimen dibubar) maka masa itu mereka akan keluarkan semua peruntukan itu dan akan berlakulah hiruk-pikuk jentolak tolak batu-bata untuk baiki jalan berlubang.?
,Negative,"Sungguhpun peratusan kecil, apabila ini berlaku boleh menjejaskan imej polis kerana tanggungjawab polis adalah membantu orang ramai bila mereka ada masalah tentang jenayah"
,Positive,"Kadang-kala ada salah faham seolah-olah apabila kita wujudkan undang-undang baharu ini, kita akan menggunakannya demi kepentingan politik semata-mata, itu tidak benar sama sekali"
,Negative,Kami berpendapat laporan seperti itu tidak beretika dan perasaan keluarga serta orang tersayang dalam penerbangan MH370 itu perlu dihormati
,Negative,"Menteri di Jabatan Perdana Menteri, Datuk Seri Shahidan Kassim menjawab kerajaan pusat kehabisan dana untuk bantu mangsa banjir di Pulau Pinang.?
,Positive,Justeru"
,Positive,"Felda (Lembaga Kemajuan Tanah Persekutuan), dalam memenuhi peranannya untuk memastikan keterangkuman dan ekuiti dalam pembangunan ekonomi Malaysia, telah menjadi ikon antarabangsa dalam membasmi kemiskinan dan membina negara"
,Neutral,Apakah model alternatif pembangkang dalam isu ini?
,Positive,Begitu juga dengan keperluan dan kapakaran di hospital yang mana penting untuk penduduk tempatan dan pelancong sekiranya berlaku kecemasan.
,Positive,"Saya boleh menang tapi kalau saya bertanding atas tiket parti, peluang nak menang lagi mudah, paling tidak majoriti tidak kurang 8,000 undi,"
,Negative,"Pemimpin Umno yang waras tidak mungkin akan menyokong Jho Low, apa lagi menyayangi penyangak itu."
,Positive,"Saya akan mencadangkan ketua pembangkang, Datuk Seri Dr Wan Azizah Wan Ismail yang akan memulakan perbahasan untuk membuat pindaan usul terima kasih kepada Agong dengan meminta kerajaan membuat tuntutan terhadap aset berkaitan 1MDB"
,Positive,"sebab itu kita tak peduli mana dia nak pergi, dia nak datang (bertanding)) di sini pun tidak mengapa."
,Neutral,Selepas bayar (nak tutup 1MDB)?
,Negative,"Jawapan ini tidak boleh diterima memandangkan walaupun SPR ada kuasa menghukum seseorang individu yang memberi maklumat palsu dalam kad pengenalannya, namun ini adalah tanggungjawab polis untuk menyiasat perkara ini dibawah Kanun Keseksaan"
,Neutral,Saya perlu tengok laporan kajian sebelum membuat tindakan seterusnya
,Neutral,"Biasalah, ...nak dekat pilihan raya."
,Negative,"Kalau kita buat pilihan salah, kerajaan tidak boleh laksanakan pembangunan dengan lancar"
,Positive,"Sehubungan itu, KKM menyediakan perkhidmatan saringan kanser serviks dan saringan kanser payu dara secara percuma di fasitili-fasiliti KKM di seluruh negara"
,Positive,Ini cara kita membantu rakyat kerana kerajaan BN mahu anak-anak kita berjaya
,Positive,Harap-harap akan kita boleh selesaikan dalam masa terdekat
,Negative,Kehadiran lori balak yang keluar masuk sepanjang masa termasuk pada waktu sesi persekolahan bermula dan tamat membuatkan ibu bapa di sini risau akan keselamatan anak-anak mereka
,Positive,"Untuk pilihan raya umum yang akan datang ini, pengundi di Kuala Lumpur haruslah mengundi calon yang akan menyokong pewartaan pelan tersebut."
,Neutral,untuk apa?
,Negative,"Harapan gagal menangani rasuah, kepimpinan buruk dan ketidakupayaan untuk memeriksa sendiri"
,Neutral,"Bagaimanapun, siapa bertanding, di mana, itu masih dalam perbincangan"
,Negative,SPR (Suruhanjaya Pilihan Raya) pula tiada kuasa mengawal pendapatan dan perbelanjaan parti politik.
,Positive,"Pada masa sama, kita perlu mendidik pembeli mengurangkan penggunaan plastik."
,Positive,"Sebab itu kita perlu kerja lebih gigih bukan saja untuk menang kerusi DAP, tapi pada masa sama turut bantu rakan-rakan Harapan."
,Positive,"Tetapi, apabila sudah biasa, rasa seronok"
,Negative,"Kita lihat media-media (ini) telah menimbulkan persepsi yang amat negatif, sebahagian daripada kita pun yang beruniform mempunyai prasangka yang begitu kerana apabila sesuatu berita diulang-ulang, pasti ia ke minda dan lekat di hati kita."
,Negative,"Mereka menerima kopi daripada orang yang tidak dikenali dan mempunyai simptom yang sama, nampaknya?semacam ada sindiket"
,Positive,Kita kumpulkan anak-anak ini untuk mengaji dan belajar agama supaya tidak terus menjadi mangsa masalah sosial dan dipengaruhi gejala buruk terutama sewaktu ibu atau bapa mereka bekerja di waktu malam
,Negative,"Malah, dunia Barat mula mengkaji semula kebebasan bersuara dan kini menganggap maklumat dan berita palsu sebagai bukan kebebasan bersuara tetapi ancaman kepada demokrasi"
,Positive,"Kali ini, urusannya ringkas dan mudah, malah kebanyakan urusan boleh dilakukan secara dalam talian pada bila-bila masa dan di mana sahaja"
,Positive,"Tunggu, rakyat akan lahirkan di PRU14, InsyaAllah, dalam sejarah MP dari PH Marang yang pertama"
,Positive,Beliau sudah berubah dan komited terhadap agenda reformasi
,Negative,"Akhirnya, jumlah keluar mengundi yang rendah sememangnya petanda politik yang tidak sihat, walaupun tidak keluar mengundi tidak sama seperti pergi ke pusat pembuangan undi dan merosak undi"
,Positive,Peruntukan ini akan digunakan untuk membeli lebih banyak peralatan canggih dan terkini bagi kegunaan pesakit yang menerima rawatan di pusat pembedahan katarak unik ini
,Positive,"Kita ada ramai penagih dadah, mungkin kita boleh guna ketum untuk rawat mereka"
,Positive,Kadang-kala pasar tani boleh dijadikan destinasi persinggahan bersama keluarga dan kerana itu saya bukan sekadar mahu pasar tani berada dalam keadaan bersih dan tersusun tapi juga mempunyai kepelbagaian produk
,Neutral,"Projek ini dalam proses pembinaan, amatlah penting kerjasama dari Selangor,"
,Negative,Dua keputusan Mahkamah Persekutuan baru-baru ini mengesahkan prinsip undang-undang dalam keistimewaan Parlimen dan ketidakadilan terhadap prosidingnya
,Positive,Mungkin dia ketakutan kerana tuan politiknya berdepan ?ematian politik?
,Positive,Seolah-olah Shahrir sedang berusaha untuk menyelamatkan Felda
,Positive,Walaupun kita tidak ada angka sebenar kita boleh atasi sebab pentadbiran kita tidak boros.?
,Negative,Ini antara laporan yang disahkan palsu yang disiarkan sejak parlimen dibubar sehingga ke hari penamaan calon.
,Positive,"secara makro melihat kepada petunjuk data yang diberikan, ekonomi kita masih berada pada landasannya dan ini juga menjadi kriteria dalam menarik pelabur asing untuk terus melabur di negara ini"
,Positive,Tahap demokrasi Malaysia tidaklah teruk seperti didakwa sesetengah pihak yang mengatakan demokrasi negara ini mati
,Positive,"Satu kata sepakat sudah dicapai antara kami berhubung agihan 36 kerusi Dun di Kedah, saya andaikan semua pihak pastinya ada wujud rasa kurang puas hati, atau mungkin berpuas hati dengan apa yang dimuktamadkan,"
,Positive,"Mereka mahukan infrastruktur lebih baik supaya boleh tingkatkan produktiviti, bekalan air yang baik dan perkhidmatan pengangkutan"
,Positive,Jadilah seorang yang profesional dan bertindak matang
,Positive,Kadar faedah yang ditawarkan haruslah sangat kompetitif
,Positive,"Kalau dibuka pasar raya di sini, dapat beri peluang anak-anak muda bekerja sebab pada masa ini, ramai yang bekerja di Bentong atau Raub"
,Negative,"Kadang-kadang pemangsa menyembunyikan identitinya, menyebabkan mangsa sukar melawan atau mempertahankan diri"
,Positive,Beliau menyambut baik dan akan membuat kenyataan bagi menyokong tuntutan terbabit dalam satu kenyataan dalam tempoh terdekat dan kami rasa terharu dengan sokongan yang diberikan
,Positive,(biar) yang keluar mengundi penyokong kita saja
,Negative,jumlah tanggungan hutang adalah besar dan ia memerlukan masa untuk menyelesaikanya
,Positive,"Kalau kita tidak bersalah, kenapa kena takut"
,Positive,Presiden tahu apa yang terbaik untuk Wanita UMNO dan kita tunggu saja
,Negative,Janganlah musnahkan semua itu hanya disebabkan mainan?politik satu kelompok yang me?ghalalkan segala cara semata-mata mahu berkuasa.
,Negative,"Kenapa hanya 22,000 mangsa banjir yang akan menerima bantuan dan bukan jumlah yang sama seperti dibayar oleh kerajaan negeri."
,Negative,Ini melampau.
,Neutral,"Afidavit itu bukanlah dibuat oleh seorang saksi yang telah mati atau gagal dikesan, dan afidavit berkenaan turut digunakan dalam prosiding perbicaraan kes tersebut"
,Positive,"Bagaimanapun, dengan ketekunan, proses pelaburan yang mantap dan kompeten serta pengurus yang profesional, KWSP mampu memperoleh pulangan pelaburan yang baik"
,Negative,"Integriti pilihan raya menghadapi risiko kerana SPR ditugaskan untuk memastikan akses, keselamatan dan penghantaran undi, yang nampaknya tidak begitu membimbangkan SPR"
,Positive,Bukan semua yang dilakukan oleh kerajaan membawa keburukan kepada rakyat
